name;price;unit_price;ean;nutriscore;promo;url
Crème dessert café CARREFOUR;0,91 €;1.82 € / KG;3270190024446;;-15% MARDI PASS;https://www.carrefour.fr/p/creme-dessert-cafe-carrefour-3270190024446?t=36993
Crème dessert saveur praliné CARREFOUR;0,91 €;1.82 € / KG;3560070884728;;-15% MARDI PASS;https://www.carrefour.fr/p/creme-dessert-saveur-praline-carrefour-3560070884728?t=36993
Crème Fraîche Entière Epaisse 30% Mat.Gr. CARREFOUR;0,95 €;4.75 € / L;3270190020998;D;-15% MARDI PASS;https://www.carrefour.fr/p/creme-fraiche-entiere-epaisse-30-mat-gr-carrefour-3270190020998?t=36993
Crème Fraîche Légère 15% Mat.Gr. CARREFOUR;1,29 €;2.58 € / L;3560070349647;D;;https://www.carrefour.fr/p/creme-fraiche-legere-15-mat-gr-carrefour-3560070349647?t=36993
Crème Fraîche Epaisse 30% Mat.Gr. CARREFOUR;1,89 €;3.78 € / L;3560070349692;D;;https://www.carrefour.fr/p/creme-fraiche-epaisse-30-mat-gr-carrefour-3560070349692?t=36993
Dessert Dessert lacté au chocolat et aromatisé CARREFOUR;1,35 €;4.22 € / KG;3270190216797;C;-15% MARDI PASS;https://www.carrefour.fr/p/dessert-dessert-lacte-au-chocolat-et-aromatise-carrefour-3270190216797?t=36993
dessert au café avec pépites de chocolat café cappuccino CARREFOUR;3,75 €;10.42 € / KG;3560071544164;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/dessert-au-cafe-avec-pepites-de-chocolat-cafe-cappuccino-carrefour-3560071544164?t=36993
Faisselle nature 6% MG CARREFOUR;1,79 €;4.48 € / KG;3245412925344;C;-15% MARDI PASS;https://www.carrefour.fr/p/faisselle-nature-6-mg-carrefour-3245412925344?t=36993
Flan chocolat CARREFOUR;2,25 €;2.81 € / KG;3560070777792;C;-15% MARDI PASS;https://www.carrefour.fr/p/flan-chocolat-carrefour-3560070777792?t=36993
Fromage à Tartiner Nature CARREFOUR;1,29 €;8.60 € / KG;3245411216818;D;-15% MARDI PASS;https://www.carrefour.fr/p/fromage-a-tartiner-nature-carrefour-3245411216818?t=36993
