name;price;unit_price;ean;nutriscore;promo;url
Café Moulu Pur Arabica Symphonie WARCA;7,85 €;15.70 € / KG;3263290000441;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-symphonie-warca-3263290000441?t=39473
Café Moulu Arpège Bio 100% Arabica Fairtrade Agriculture Biologique WARCA;4,65 €;18.60 € / KG;3263292000128;;;https://www.carrefour.fr/p/cafe-moulu-arpege-bio-100-arabica-fairtrade-agriculture-biologique-warca-3263292000128?t=39473
Café Dosettes Espresso Tonique WARCA;6,09 €;18.12 € / KG;3263292269679;;;https://www.carrefour.fr/p/cafe-dosettes-espresso-tonique-warca-3263292269679?t=39473
Café Moulu Corsé CORSICA;3,30 €;13.20 € / KG;3277090325017;;;https://www.carrefour.fr/p/cafe-moulu-corse-corsica-3277090325017?t=39473
Café Moulu 100% Arabica CORSICA;5,15 €;20.60 € / KG;3277090425014;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-corsica-3277090425014?t=39473
Café Moulu Goût Subtil CORSICA;7,45 €;7.45 € / KG;3277090425052;;;https://www.carrefour.fr/p/cafe-moulu-gout-subtil-corsica-3277090425052?t=39473
Café Moulu Corsica CORSICA;13,99 €;13.99 € / KG;3277090610007;;;https://www.carrefour.fr/p/cafe-moulu-corsica-corsica-3277090610007?t=39473
Café Moulu Décaféiné CORSICA;4,25 €;17.00 € / KG;3277091325016;;;https://www.carrefour.fr/p/cafe-moulu-decafeine-corsica-3277091325016?t=39473
Café Moulu Pur Passion Bio BROCELIANDE;3,75 €;15.00 € / KG;3280191000202;;;https://www.carrefour.fr/p/cafe-moulu-pur-passion-bio-broceliande-3280191000202?t=39473
Café Moulu 100% Arabica Colombie BROCELIANDE;3,89 €;15.56 € / KG;3280191000530;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-colombie-broceliande-3280191000530?t=39473
Café Moulu Moka d'Ethiopie TORREFACTION DE BROCELIANDE;5,19 €;20.76 € / KG;3280191000882;;;https://www.carrefour.fr/p/cafe-moulu-moka-d-ethiopie-torrefaction-de-broceliande-3280191000882?t=39473
Café Moulu Espresso Arabica Robusta FOLLIET;4,49 €;17.96 € / KG;3324700000199;;;https://www.carrefour.fr/p/cafe-moulu-espresso-arabica-robusta-folliet-3324700000199?t=39473
Café Moulu 100% Arabica Doux FOLLIET;4,49 €;17.96 € / KG;3324700000212;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-doux-folliet-3324700000212?t=39473
Café Moulu 100% Arabica Vénitien RAS D'AMHARA;3,69 €;14.76 € / KG;3324700000601;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-venitien-ras-d-amhara-3324700000601?t=39473
Café Moulu 100% Arabica FOLLIET;5,09 €;20.36 € / KG;3324700001295;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-folliet-3324700001295?t=39473
Café Moulu 100% Arabica Doux Goût Suisse GALLAY;3,50 €;14.00 € / KG;3324700001516;;;https://www.carrefour.fr/p/cafe-moulu-100-arabica-doux-gout-suisse-gallay-3324700001516?t=39473
Café Moulu Pur Arabica Intensité 7 Pérou Bio LOBODIS;6,15 €;24.60 € / KG;3376221111083;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-intensite-7-perou-bio-lobodis-3376221111083?t=39473
Café moulu bio Bolivie Villa Oriente pur arabica LOBODIS;5,59 €;22.36 € / KG;3376221111137;U;;https://www.carrefour.fr/p/cafe-moulu-bio-bolivie-villa-oriente-pur-arabica-lobodis-3376221111137?t=39473
Café Moulu Pur Arabica Intensité 8 Ethiopie Bio LOBODIS;6,35 €;25.40 € / KG;3376221211967;;;https://www.carrefour.fr/p/cafe-moulu-pur-arabica-intensite-8-ethiopie-bio-lobodis-3376221211967?t=39473
Café Moulu Moka d'Ethiopie Intensité 4 CAFE LAUNAY;2,99 €;11.96 € / KG;3418500000098;;;https://www.carrefour.fr/p/cafe-moulu-moka-d-ethiopie-intensite-4-cafe-launay-3418500000098?t=39473
Café Grains Suave Bio CAFE LAUNAY;4,25 €;17.00 € / KG;3418500007127;;;https://www.carrefour.fr/p/cafe-grains-suave-bio-cafe-launay-3418500007127?t=39473
