name;price;unit_price;ean;nutriscore;promo;url
Plat cuisiné lasagne bolognaise CARREFOUR CLASSIC';3,59 €;3.59 € / KG;3270190020073;B;-15% MARDI PASS;https://www.carrefour.fr/p/plat-cuisine-lasagne-bolognaise-carrefour-classic-3270190020073?t=2074
Poêlée campagnarde CARREFOUR;4,65 €;5.17 € / KG;3270190026686;B;-15% MARDI PASS;https://www.carrefour.fr/p/poelee-campagnarde-carrefour-3270190026686?t=2074
Cheeseburgers halal CARREFOUR SENSATION;7,89 €;10.52 € / KG;3560070760107;D;-15% MARDI PASS;https://www.carrefour.fr/p/cheeseburgers-halal-carrefour-sensation-3560070760107?t=2074
Mozzarella sticks avec sauce CARREFOUR SENSATION;3,55 €;14.20 € / KG;3560071018337;D;-15% MARDI PASS;https://www.carrefour.fr/p/mozzarella-sticks-avec-sauce-carrefour-sensation-3560071018337?t=2074
Cheese Burgers CARREFOUR CLASSIC';5,99 €;7.68 € / KG;3270190208075;D;-15% MARDI PASS;https://www.carrefour.fr/p/cheese-burgers-carrefour-classic-3270190208075?t=2074
Plat cuisiné paella Valenciana CARREFOUR SENSATION;4,09 €;4.09 € / KG;3270190026730;B;-15% MARDI PASS;https://www.carrefour.fr/p/plat-cuisine-paella-valenciana-carrefour-sensation-3270190026730?t=2074
Plat cuisiné riz cantonais CARREFOUR SENSATION;3,99 €;4.43 € / KG;3270190202769;B;-15% MARDI PASS;https://www.carrefour.fr/p/plat-cuisine-riz-cantonais-carrefour-sensation-3270190202769?t=2074
Plat cuisiné hachis parmentier CARREFOUR CLASSIC';4,65 €;4.65 € / KG;3270190213321;B;-15% MARDI PASS;https://www.carrefour.fr/p/plat-cuisine-hachis-parmentier-carrefour-classic-3270190213321?t=2074
Plat cuisiné lasagnes bolognaise CARREFOUR CLASSIC';2,99 €;4.98 € / KG;3245411440176;B;-15% MARDI PASS;https://www.carrefour.fr/p/plat-cuisine-lasagnes-bolognaise-carrefour-classic-3245411440176?t=2074
Choux-fleurs en fleurettes CARREFOUR CLASSIC';1,69 €;1.69 € / KG;3560070122349;A;-15% MARDI PASS;https://www.carrefour.fr/p/choux-fleurs-en-fleurettes-carrefour-classic-3560070122349?t=2074
Haricots verts extra-fins CARREFOUR CLASSIC';1,99 €;1.99 € / KG;3270190020660;A;-15% MARDI PASS;https://www.carrefour.fr/p/haricots-verts-extra-fins-carrefour-classic-3270190020660?t=2074
Macarons assortiment CARREFOUR EXTRA;3,99 €;27.71 € / KG;3560070730483;;-15% MARDI PASS;https://www.carrefour.fr/p/macarons-assortiment-carrefour-extra-3560070730483?t=2074
Gâteau cœur fondant chocolat caramel CARREFOUR;2,79 €;14.68 € / KG;3560070792849;;-15% MARDI PASS;https://www.carrefour.fr/p/gateau-coeur-fondant-chocolat-caramel-carrefour-3560070792849?t=2074
Dessert glacé vanille cœur meringue CARREFOUR;3,89 €;13.89 € / KG;3245412404856;D;-15% MARDI PASS;https://www.carrefour.fr/p/dessert-glace-vanille-coeur-meringue-carrefour-3245412404856?t=2074
Croissants pur beurre CARREFOUR CLASSIC';2,59 €;7.19 € / KG;3245414456341;D;-15% MARDI PASS;https://www.carrefour.fr/p/croissants-pur-beurre-carrefour-classic-3245414456341?t=2074
Tarte tatin CARREFOUR EXTRA;4,69 €;7.82 € / KG;3245413870056;C;-15% MARDI PASS;https://www.carrefour.fr/p/tarte-tatin-carrefour-extra-3245413870056?t=2074
Tarte aux myrtilles CARREFOUR EXTRA;4,19 €;9.74 € / KG;3560071474300;D;-15% MARDI PASS;https://www.carrefour.fr/p/tarte-aux-myrtilles-carrefour-extra-3560071474300?t=2074
Glace Bâtonnet Amande MAGNUM;5,59 €;9.32 € / KG;8711327609648;;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/glace-batonnet-amande-magnum-8711327609648?t=2074
Glace Cône vanille pépites nougatine EXTREME;3,55 €;8.33 € / KG;7613034975386;C;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glace-cone-vanille-pepites-nougatine-extreme-7613034975386?t=2074
Glaces vanille/chocolat EXTREME MINI;3,55 €;11.38 € / KG;7613035468535;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glaces-vanille-chocolat-extreme-mini-7613035468535?t=2074
Glace Cône chocolat pépites nougatine EXTREME;3,55 €;8.33 € / KG;7613034975416;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glace-cone-chocolat-pepites-nougatine-extreme-7613034975416?t=2074
Glace Cône chocolat pistache EXTREME;3,55 €;8.33 € / KG;7613035892866;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glace-cone-chocolat-pistache-extreme-7613035892866?t=2074
Glace pop up SMARTIES;4,29 €;20.62 € / KG;8436575298092;C;;https://www.carrefour.fr/p/glace-pop-up-smarties-8436575298092?t=2074
Glace cône Chocolat au Lait Noisettes KINDER BUENO;4,79 €;19.31 € / KG;8000500384664;U;;https://www.carrefour.fr/p/glace-cone-chocolat-au-lait-noisettes-kinder-bueno-8000500384664?t=2074
Glace bâtonnet Chocolat au Lait KINDER CHOCOLAT;3,69 €;24.28 € / KG;8000500406427;;;https://www.carrefour.fr/p/glace-batonnet-chocolat-au-lait-kinder-chocolat-8000500406427?t=2074
Légumes cuisinés julienne de 4 légumes CARREFOUR;1,89 €;2.52 € / KG;3245411861384;A;-15% MARDI PASS;https://www.carrefour.fr/p/legumes-cuisines-julienne-de-4-legumes-carrefour-3245411861384?t=2074
Glace Bâtonnet Chocolat Blanc MAGNUM;5,59 €;9.51 € / KG;8711327608504;U;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/glace-batonnet-chocolat-blanc-magnum-8711327608504?t=2074
Glace Bâtonnet Classic, Amande & Chocolat Blanc MAGNUM;5,59 €;9.77 € / KG;8711327621176;U;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/glace-batonnet-classic-amande-chocolat-blanc-magnum-8711327621176?t=2074
Glaces barres glacées chocolat cacahuètes et caramel SNICKERS;8,35 €;10.17 € / KG;5000159541350;E;;https://www.carrefour.fr/p/glaces-barres-glacees-chocolat-cacahuetes-et-caramel-snickers-5000159541350?t=2074
Glaces barres glacées chocolat cacahuètes et caramel SNICKERS;3,49 €;12.76 € / KG;5000159541336;U;;https://www.carrefour.fr/p/glaces-barres-glacees-chocolat-cacahuetes-et-caramel-snickers-5000159541336?t=2074
Glace Cookie Dough BEN & JERRY'S;3,85 €;9.48 € / KG;8711327373105;;;https://www.carrefour.fr/p/glace-cookie-dough-ben-jerry-s-8711327373105?t=2074
Glace The Cookie Dough Cool-lection BEN & JERRY'S;6,45 €;22.40 € / KG;8711327321724;;;https://www.carrefour.fr/p/glace-the-cookie-dough-cool-lection-ben-jerry-s-8711327321724?t=2074
Glace Bâtonnet Mini Amande MAGNUM;4,09 €;15.38 € / KG;8711327611924;U;;https://www.carrefour.fr/p/glace-batonnet-mini-amande-magnum-8711327611924?t=2074
Glace à l'Italienne Vanille et Fraise CORNETTO;4,15 €;13.13 € / KG;8711327655386;;;https://www.carrefour.fr/p/glace-a-l-italienne-vanille-et-fraise-cornetto-8711327655386?t=2074
Glace Bâtonnet Deluxe Caramel MAGNUM;3,79 €;13.35 € / KG;8711327577619;;;https://www.carrefour.fr/p/glace-batonnet-deluxe-caramel-magnum-8711327577619?t=2074
Glace Bâtonnet Chocolat Blanc MAGNUM;3,09 €;10.51 € / KG;8711327606081;;;https://www.carrefour.fr/p/glace-batonnet-chocolat-blanc-magnum-8711327606081?t=2074
Glace Bâtonnet Amande MAGNUM;3,09 €;10.30 € / KG;8711327608665;;;https://www.carrefour.fr/p/glace-batonnet-amande-magnum-8711327608665?t=2074
Glace Rhum-Raisin CARTE D'OR;3,39 €;8.60 € / KG;8711327615199;;;https://www.carrefour.fr/p/glace-rhum-raisin-carte-d-or-8711327615199?t=2074
Glace Bâtonnet Double Gold Caramel Billionaire MAGNUM;3,65 €;12.85 € / KG;8711327483729;;;https://www.carrefour.fr/p/glace-batonnet-double-gold-caramel-billionaire-magnum-8711327483729?t=2074
Glace Bâtonnet Deluxe Chocolat MAGNUM;3,79 €;13.35 € / KG;8711327576865;;;https://www.carrefour.fr/p/glace-batonnet-deluxe-chocolat-magnum-8711327576865?t=2074
Glace Caramel Fleur de Sel de Camargue CARTE D'OR;3,55 €;9.52 € / KG;8711327615144;;;https://www.carrefour.fr/p/glace-caramel-fleur-de-sel-de-camargue-carte-d-or-8711327615144?t=2074
Glace cône Chocolat Blanc KINDER BUENO WHITE;4,79 €;19.31 € / KG;8000500384718;U;;https://www.carrefour.fr/p/glace-cone-chocolat-blanc-kinder-bueno-white-8000500384718?t=2074
Glace Half Baked BEN & JERRY'S;3,99 €;9.83 € / KG;8711327371002;;;https://www.carrefour.fr/p/glace-half-baked-ben-jerry-s-8711327371002?t=2074
